Bezeichnung;Zeit;Wert;Einheit
NS_NSM;1881_01;25;mm
NS_NSM;1881_02;52;mm
NS_NSM;1881_03;92;mm
NS_NSM;1881_04;31;mm
NS_NSM;1881_05;34;mm
NS_NSM;1881_06;31;mm
NS_NSM;1881_07;55;mm
NS_NSM;1881_08;125;mm
NS_NSM;1881_09;85;mm
NS_NSM;1881_10;52;mm
NS_NSM;1881_11;31;mm
NS_NSM;1881_12;42;mm
NS_NSM;1882_01;21;mm
NS_NSM;1882_02;35;mm
NS_NSM;1882_03;43;mm
NS_NSM;1882_04;40;mm
NS_NSM;1882_05;55;mm
NS_NSM;1882_06;129;mm
NS_NSM;1882_07;123;mm
NS_NSM;1882_08;96;mm
NS_NSM;1882_09;92;mm
NS_NSM;1882_10;60;mm
NS_NSM;1882_11;104;mm
NS_NSM;1882_12;86;mm
NS_NSM;1883_01;39;mm
NS_NSM;1883_02;31;mm
NS_NSM;1883_03;33;mm
NS_NSM;1883_04;11;mm
NS_NSM;1883_05;30;mm
NS_NSM;1883_06;38;mm
NS_NSM;1883_07;104;mm
NS_NSM;1883_08;49;mm
NS_NSM;1883_09;61;mm
NS_NSM;1883_10;52;mm
NS_NSM;1883_11;72;mm
NS_NSM;1883_12;65;mm
NS_NSM;1884_01;59;mm
NS_NSM;1884_02;32;mm
NS_NSM;1884_03;23;mm
NS_NSM;1884_04;26;mm
NS_NSM;1884_05;61;mm
NS_NSM;1884_06;41;mm
NS_NSM;1884_07;81;mm
NS_NSM;1884_08;56;mm
NS_NSM;1884_09;28;mm
NS_NSM;1884_10;60;mm
NS_NSM;1884_11;26;mm
NS_NSM;1884_12;103;mm
NS_NSM;1885_01;24;mm
NS_NSM;1885_02;41;mm
NS_NSM;1885_03;32;mm
NS_NSM;1885_04;27;mm
NS_NSM;1885_05;67;mm
NS_NSM;1885_06;57;mm
NS_NSM;1885_07;53;mm
NS_NSM;1885_08;56;mm
NS_NSM;1885_09;67;mm
NS_NSM;1885_10;90;mm
NS_NSM;1885_11;48;mm
NS_NSM;1885_12;31;mm
NS_NSM;1886_01;65;mm
NS_NSM;1886_02;22;mm
NS_NSM;1886_03;36;mm
NS_NSM;1886_04;25;mm
NS_NSM;1886_05;46;mm
NS_NSM;1886_06;91;mm
NS_NSM;1886_07;50;mm
NS_NSM;1886_08;54;mm
NS_NSM;1886_09;40;mm
NS_NSM;1886_10;52;mm
NS_NSM;1886_11;46;mm
NS_NSM;1886_12;76;mm
NS_NSM;1887_01;5;mm
NS_NSM;1887_02;11;mm
NS_NSM;1887_03;55;mm
NS_NSM;1887_04;23;mm
NS_NSM;1887_05;83;mm
NS_NSM;1887_06;25;mm
NS_NSM;1887_07;57;mm
NS_NSM;1887_08;48;mm
NS_NSM;1887_09;66;mm
NS_NSM;1887_10;47;mm
NS_NSM;1887_11;32;mm
NS_NSM;1887_12;69;mm
NS_NSM;1888_01;33;mm
NS_NSM;1888_02;41;mm
NS_NSM;1888_03;99;mm
NS_NSM;1888_04;34;mm
NS_NSM;1888_05;20;mm
NS_NSM;1888_06;106;mm
NS_NSM;1888_07;121;mm
NS_NSM;1888_08;66;mm
NS_NSM;1888_09;28;mm
NS_NSM;1888_10;64;mm
NS_NSM;1888_11;39;mm
