Zeit,Wert,Einheit,SPI_1,SPI_3,SPI_6,SPI_12,SPI_24
1881-01-01,25,mm,-0.9429470534095091,,,,
1881-02-01,52,mm,0.5578644562212731,,,,
1881-03-01,92,mm,1.2321487908734796,0.5425497850167148,,,
1881-04-01,31,mm,-0.6258348155433693,0.7742453782759595,,,
1881-05-01,34,mm,-1.0257571239036605,-0.03913193026289004,,,
1881-06-01,31,mm,-1.5191540232843812,-2.100717120035546,-0.9243655442531862,,
1881-07-01,55,mm,-0.3879772852368376,-2.1178910294140114,-0.7290028179777965,,
1881-08-01,125,mm,2.122670677823351,0.38499128656022447,0.2093754168814419,,
1881-09-01,85,mm,1.0284464570269305,1.8522520760580208,0.06737588445859317,,
1881-10-01,52,mm,0.17091781185115937,1.5967703607668997,0.2675104528224846,,
1881-11-01,31,mm,-1.2576300020412094,0.17662121581382745,0.31201149930935573,,
1881-12-01,42,mm,-0.4378272839692459,-0.8596996250251684,0.6339140120460428,-0.15030045288170427,
1882-01-01,21,mm,-1.1856182588312802,-1.955610210043451,0.3701315404520586,-0.1785199712919149,
1882-02-01,35,mm,-0.0901778362872457,-1.1643233509949797,-0.5783867290172434,-0.3832828782784587,
1882-03-01,43,mm,-0.24784106788568047,-1.0827051670080623,-1.2905395936993322,-0.8744543834266247,
1882-04-01,40,mm,-0.1285500375285836,-0.49010094547898236,-1.6449305128085945,-0.7523549425470742,
1882-05-01,55,mm,-0.08783899805360158,-0.5168112783901707,-1.2143737128739225,-0.5781359369704598,
1882-06-01,129,mm,1.564985360629056,0.9503048564109162,-0.004383367175281555,0.40636087543200916,
1882-07-01,123,mm,2.1213642208450305,2.213180295597166,1.2563744126699485,0.9922965189918906,
1882-08-01,96,mm,1.3864361102637086,2.7219383293580512,1.9373936587175706,0.8466685410691374,
1882-09-01,92,mm,1.2079263292695446,2.6592639237810296,2.6518205946690867,0.9105394154369704,
1882-10-01,60,mm,0.4200445360600758,1.4031130041157511,2.2547013853727935,0.9798234244445579,
1882-11-01,104,mm,1.9881767550857443,1.6233243646058573,2.797417596113524,1.5871892732900987,
1882-12-01,86,mm,0.9481314258396055,1.602418429625825,2.525782448276492,1.9639057543160323,1.366502150660963
1883-01-01,39,mm,-0.2640304391212476,1.500819843331148,1.6994106895247945,2.018355864195345,1.3863045680881194
1883-02-01,31,mm,-0.2726050474331606,0.23625096460379777,1.2718606296369641,2.110423940216809,1.2930507117849503
1883-03-01,33,mm,-0.6820130039376708,-0.9716756224346274,0.6142176601102404,1.9406310278275516,0.8676809355383457
1883-04-01,11,mm,-2.0053610976886036,-1.759179753454359,0.02171956095658393,1.6336150939532335,0.7163679264809286
1883-05-01,30,mm,-1.248036802127217,-2.5699025995440223,-1.3270242759296837,1.5311610443236878,0.7103780665058694
1883-06-01,38,mm,-1.1591085431777155,-2.696112975068814,-2.5192092668779402,0.682863425570341,0.7726814371366588
1883-07-01,104,mm,1.5383619267594364,-0.6141113221730186,-1.6119231696833691,0.4955777234408778,1.1100489346848517
1883-08-01,49,mm,-0.20595693506775956,-0.03393672883598451,-1.63451217694903,0.10195749496198804,0.716937465630074
1883-09-01,61,mm,0.3280156566978168,0.8433618030897826,-1.1708401642851327,-0.23620949177336056,0.49755276059804987
1883-10-01,52,mm,0.17091781185115937,0.020839048188604995,-0.3873568895774432,-0.33316487507211423,0.4659117049130846
1883-11-01,72,mm,0.8576352817095116,0.48943498655371737,0.2729947778524616,-0.6325539242327187,0.7313117206037991
1883-12-01,65,mm,0.3667464767834223,0.5390149389761895,0.7949109875132986,-0.8937436386882552,0.8903948943936589
1884-01-01,59,mm,0.46007731067948204,0.8206585956860928,0.3943526682884141,-0.6399337834881551,1.1003137276545194
1884-02-01,32,mm,-0.2255579415253974,0.23625096460379777,0.43843885496489016,-0.6860186127185783,1.1130711021454305
1884-03-01,23,mm,-1.2209566555937434,-0.6808638799417777,-0.057437478936628004,-0.7569797327931329,0.9361394255912511
1884-04-01,26,mm,-0.9400365481255483,-1.5559084802237717,-0.427174117940518,-0.5800310243596993,0.8218728972316303
1884-05-01,61,mm,0.1336216107581854,-1.3099162691735644,-0.6785911890316828,-0.2934770214665232,0.8827107573616021
1884-06-01,41,mm,-1.0191282877713244,-1.1558912917416808,-1.3270844925720988,-0.2503458522409277,0.3112907941291304
1884-07-01,81,mm,0.7321718365884232,-0.3372679539783935,-1.2868527033299018,-0.4624799821092272,0.023294677421471177
1884-08-01,56,mm,0.08200707221222611,-0.3222020278044584,-1.1855238459842448,-0.4039547802364277,-0.24436770857128154
1884-09-01,28,mm,-1.0442854999343643,-0.2885309422225817,-1.1708401642851327,-0.7866531698648936,-0.7397735004434145
1884-10-01,60,mm,0.4200445360600758,-0.32771235748660965,-0.48802838574969,-0.7083683289601411,-0.7581468680985519
1884-11-01,26,mm,-1.6329843614589554,-0.9861532876231329,-0.9162191551244578,-1.1564671541387814,-1.3313016012190924
1884-12-01,103,mm,1.3542751110171103,0.5390149389761895,0.16869018910117434,-0.7730951983056299,-1.2451439658824128
1885-01-01,24,mm,-1.0008594617320004,-0.19007641467738157,-0.3893409134833275,-1.1039346064833118,-1.2259652222013913
1885-02-01,41,mm,0.15863629913117258,0.4799383026183438,-0.34670611362423465,-1.0894157160712332,-1.183807782511309
1885-03-01,32,mm,-0.7302287427689984,-1.1393823896530877,-0.302579554661416,-0.939160534890121,-1.132992396432181
1885-04-01,27,mm,-0.8746885213220164,-0.9744254640788033,-0.851608939634161,-0.8967816400462107,-1.0251431219663483
1885-05-01,67,mm,0.3409751884406797,-0.8418595935138756,-0.2142507765536683,-0.8933967743584716,-0.787709640455628
1885-06-01,57,mm,-0.3731893840465207,-0.5736090680632857,-1.2195956062871303,-0.6898756879108348,-0.6957472029024971
1885-07-01,53,mm,-0.48785505878191204,-0.48683845756875566,-1.0477765158383363,-0.9500932069821011,-1.0835308347486943
1885-08-01,56,mm,0.08200707221222611,-0.6011410556586657,-1.1099548360426645,-1.0165664959930005,-1.0970481214231627
1885-09-01,67,mm,0.518010682403959,-0.016716536187740837,-0.5300499648241331,-0.5961383369166865,-1.0033318037853842
1885-10-01,90,mm,1.1965501280662916,0.8858284923678628,0.37122718479817535,-0.279127562345036,-0.71904891303081
1885-11-01,48,mm,-0.23242950987048022,0.8340374822753124,0.2075046245731259,-0.025496717880808775,-0.8741064050273171
1885-12-01,31,mm,-0.9353230397451826,0.14156636799721672,0.04751158094511364,-0.805849426421559,-1.1813569790402172
1886-01-01,65,mm,0.6444888540058735,-0.42503892847668445,0.3822533462907628,-0.34641564254482793,-1.0116404066992863
1886-02-01,22,mm,-0.7524803637015945,-0.6297888096339956,0.20921686113722554,-0.5877046690517491,-1.1153961300515194
1886-03-01,36,mm,-0.5432049646200448,-0.4568587195980027,-0.214970484558035,-0.5159882081817055,-0.9672050938119632
1886-04-01,25,mm,-1.0067022048699843,-1.4904998222420762,-1.3434425022309884,-0.519981469665006,-0.9825245378796723
1886-05-01,46,mm,-0.4529325616739637,-1.402804532240713,-1.4224449848652216,-0.7835229789927947,-1.121848427422106
1886-06-01,91,mm,0.6700245465480358,-0.31630090067802297,-0.5930539550412873,-0.4013729324371956,-0.8072863636429304
1886-07-01,50,mm,-0.6425912171185763,-0.23937624206800925,-1.1755377503323894,-0.41316177951194366,-1.0451784619839686
1886-08-01,54,mm,0.0023253793679456542,0.05210854128281544,-0.9240538480960082,-0.4472652029933227,-1.1311342316169806
1886-09-01,40,mm,-0.4572175942086333,-0.8433990422717186,-0.9201833126302068,-0.7640514061818531,-0.9872219079395685
1886-10-01,52,mm,0.17091781185115937,-0.2875855715429581,-0.4016511159909697,-1.2156611210098265,-1.0668008102067392
1886-11-01,46,mm,-0.33856534122565407,-0.4314621966756854,-0.3105692651218444,-1.1564671541387814,-0.8741064050273171
1886-12-01,76,mm,0.684457274973649,0.24373571436050642,-0.3291995042324512,-0.697098161204199,-1.1257801336819968
1887-01-01,5,mm,-2.816374016224913,-0.897448369774823,-0.7273897046909481,-1.3008547522298086,-1.1442511748539559
1887-02-01,11,mm,-1.5889444802232113,-1.339230096991284,-1.136565297221483,-1.5343792594155645,-1.4066768226996929
1887-03-01,55,mm,0.19009463416429018,-1.9635484708592983,-0.9371722172746438,-1.2472695010159103,-1.1693219465256859
1887-04-01,23,mm,-1.1440446165821236,-1.3006392765850832,-1.5631391347668422,-1.2251819688704109,-1.2042945865381254
1887-05-01,83,mm,0.8398077803189358,0.056423442043144464,-0.9054462863310829,-0.8933967743584716,-1.121848427422106
1887-06-01,25,mm,-1.8776116634487696,-1.0760880677978064,-2.095055340445317,-1.5906573518524727,-1.433764446471294
1887-07-01,57,mm,-0.29052930713371444,-0.79656235714436,-1.476274219243534,-1.4550382860220723,-1.4100383615150542
