month_day,reference_period,tasmin,tas,tasmax
01-01,1971-2000,-2.8683393,-0.44316015,2.1544526
01-02,1971-2000,-2.7143636,0.030126993,2.3298962
01-03,1971-2000,-2.510218,0.19295089,2.8135402
01-04,1971-2000,-2.7640202,-0.15826459,2.3693202
01-05,1971-2000,-2.7194853,0.09842445,2.4577115
01-06,1971-2000,-2.44887,0.09003594,2.5940878
01-07,1971-2000,-3.0648654,-0.3171756,2.511796
01-08,1971-2000,-2.8219094,-0.14387703,2.089816
01-09,1971-2000,-2.2580943,0.34719345,2.5683525
01-10,1971-2000,-1.9128388,0.4391788,2.781896
01-11,1971-2000,-1.9920247,0.49090677,2.921012
01-12,1971-2000,-2.3790228,-0.01221157,2.716651
01-13,1971-2000,-3.2883008,-0.5827868,2.4547598
01-14,1971-2000,-3.308934,-0.21239185,2.757287
01-15,1971-2000,-2.5785701,0.18038543,2.7381973
01-16,1971-2000,-1.9374559,0.4916567,2.8763418
01-17,1971-2000,-2.439203,0.0051900386,2.933282
01-18,1971-2000,-3.3933797,-0.549798,2.1602325
01-19,1971-2000,-2.6915028,0.039430536,2.3769822
01-20,1971-2000,-2.2558205,0.08558801,2.545424
01-21,1971-2000,-2.282179,0.1977711,2.478089
01-22,1971-2000,-1.6423374,0.8894345,3.0128186
01-23,1971-2000,-1.3242213,1.1678985,3.7012677
01-24,1971-2000,-1.383925,0.79974926,3.3328903
01-25,1971-2000,-1.9527034,0.7815504,3.2798402
01-26,1971-2000,-2.2165046,0.45997345,3.3072736
01-27,1971-2000,-2.3628006,0.20696935,2.9070368
01-28,1971-2000,-2.7044933,0.24585563,2.8863723
01-29,1971-2000,-2.3162029,0.30088246,2.9942198
01-30,1971-2000,-2.4971712,0.3300333,3.060823
01-31,1971-2000,-2.6244516,0.05090545,3.0763433
02-01,1971-2000,-3.2708514,-0.13200165,3.3075545
02-02,1971-2000,-3.026898,0.21451788,3.360968
02-03,1971-2000,-2.5064735,0.3369594,3.1330323
02-04,1971-2000,-2.1133912,0.65982056,3.541761
02-05,1971-2000,-2.0339499,0.9280894,4.016051
02-06,1971-2000,-1.4923537,1.4127272,4.136481
02-07,1971-2000,-1.0705594,1.5643458,4.385161
02-08,1971-2000,-1.3245885,1.0613332,3.9337716
02-09,1971-2000,-2.2028055,0.7412581,3.8934724
02-10,1971-2000,-1.9855939,1.0062289,4.0152373
02-11,1971-2000,-1.7392617,0.9532289,4.065296
02-12,1971-2000,-1.8926773,1.0413129,4.1871862
02-13,1971-2000,-2.2690146,0.5101892,3.810168
02-14,1971-2000,-2.5875146,0.043173805,3.1783836
02-15,1971-2000,-2.920455,0.06472404,3.1645575
02-16,1971-2000,-2.9053488,-0.042329665,3.0840461
02-17,1971-2000,-3.1685305,-0.34051302,2.787553
02-18,1971-2000,-2.870757,0.12909777,3.090569
02-19,1971-2000,-2.2889636,0.5862189,3.5454688
02-20,1971-2000,-2.5574257,0.67520726,4.219812
02-21,1971-2000,-2.697653,0.7822969,4.6138916
02-22,1971-2000,-2.714999,0.63720304,4.45509
02-23,1971-2000,-2.613297,0.73983055,4.365037
02-24,1971-2000,-2.2342594,1.3772084,5.0180445
02-25,1971-2000,-1.3361907,1.8667144,5.5169015
02-26,1971-2000,-1.7661752,1.3865224,5.4063597
02-27,1971-2000,-2.1015632,1.426292,5.3394666
02-28,1971-2000,-1.449286,2.091494,5.8471246
02-29,1971-2000,-0.37028274,3.107763,7.0670967
03-01,1971-2000,-0.6057233,2.4871264,6.2465143
03-02,1971-2000,-0.70285016,2.421739,5.899663
03-03,1971-2000,-0.5134993,2.6315696,6.2975845
03-04,1971-2000,-0.7975582,2.351105,6.164216
03-05,1971-2000,-0.9639691,2.532018,6.3811717
03-06,1971-2000,-0.21279354,2.9916418,6.3840337
03-07,1971-2000,0.24724117,3.448545,7.059616
03-08,1971-2000,0.15828134,3.3921704,7.2778683
03-09,1971-2000,-0.12003174,3.3529902,7.517709
03-10,1971-2000,-0.3679484,3.4423728,7.617736
03-11,1971-2000,0.08982098,3.468323,7.62536
03-12,1971-2000,-0.3889898,3.2408621,7.3504972
03-13,1971-2000,0.088336535,3.6870892,7.843619
03-14,1971-2000,0.41249663,4.0652447,8.283795
03-15,1971-2000,0.88023454,4.3172693,8.401373
03-16,1971-2000,1.0009259,4.364415,8.424437
03-17,1971-2000,1.0472836,4.409652,8.37897
03-18,1971-2000,1.0907099,4.5265393,8.683684
03-19,1971-2000,0.77613944,4.11322,8.262944
03-20,1971-2000,0.6683234,4.3877687,8.658925
03-21,1971-2000,1.0478408,4.7802243,9.229409
03-22,1971-2000,0.73550147,4.650995,9.314972
03-23,1971-2000,0.83549124,4.7932925,9.153322
03-24,1971-2000,1.5085685,5.4297714,9.86448
03-25,1971-2000,1.8852775,5.683062,9.976395
03-26,1971-2000,2.1066809,5.642191,10.154788
03-27,1971-2000,1.5067074,5.442902,9.798352
03-28,1971-2000,1.7516959,5.337401,9.886739
03-29,1971-2000,1.7048211,5.077168,9.34938
03-30,1971-2000,1.4041355,5.4778795,9.894871
03-31,1971-2000,1.9991256,6.2296395,10.849169
04-01,1971-2000,2.3741472,6.94615,11.791864
04-02,1971-2000,2.904786,6.974355,11.857375
04-03,1971-2000,2.7993135,6.57898,11.189503
04-04,1971-2000,2.3284795,6.0685887,10.424323
04-05,1971-2000,2.319073,6.0164776,10.253144
04-06,1971-2000,2.437404,6.357017,10.967483
04-07,1971-2000,2.341798,6.777685,11.581256
04-08,1971-2000,2.6203663,6.2720203,10.885427
04-09,1971-2000,1.7747513,5.861277,10.714064
04-10,1971-2000,1.4236308,6.418289,11.327916
04-11,1971-2000,2.4366434,6.508754,11.2456875
04-12,1971-2000,2.0984654,6.1383233,10.684459
04-13,1971-2000,1.9068671,6.1518273,11.021703
