Date,Mean,Month
1951-01-01,67.96460177,1
1951-02-01,28.88495575,2
1951-03-01,60.48672566,3
1951-04-01,47.4159292,4
1951-05-01,102.8938053,5
1951-06-01,66.61061947,6
1951-07-01,52.47787611,7
1951-08-01,113.0176991,8
1951-09-01,74.25663717,9
1951-10-01,7.415929204,10
1951-11-01,87.0,11
1951-12-01,27.14159292,12
1952-01-01,71.94690265,1
1952-02-01,52.19469027,2
1952-03-01,71.60176991,3
1952-04-01,15.55752212,4
1952-05-01,18.25663717,5
1952-06-01,73.57522124,6
1952-07-01,71.0619469,7
1952-08-01,107.3451327,8
1952-09-01,71.51327434,9
1952-10-01,51.01769912,10
1952-11-01,119.2831858,11
1952-12-01,59.79646018,12
1953-01-01,23.85840708,1
1953-02-01,55.05309735,2
1953-03-01,14.59292035,3
1953-04-01,63.23893805,4
1953-05-01,30.95575221,5
1953-06-01,148.1415929,6
1953-07-01,64.87610619,7
1953-08-01,88.26548673,8
1953-09-01,56.16814159,9
1953-10-01,20.97345133,10
1953-11-01,7.061946903,11
1953-12-01,51.97345133,12
1954-01-01,64.97345133,1
1954-02-01,36.3539823,2
1954-03-01,29.33628319,3
1954-04-01,26.23893805,4
1954-05-01,60.14159292,5
1954-06-01,80.25663717,6
1954-07-01,83.48672566,7
1954-08-01,114.0353982,8
1954-09-01,58.00884956,9
1954-10-01,70.71681416,10
1954-11-01,37.38053097,11
1954-12-01,66.61946903,12
1955-01-01,58.69911504,1
1955-02-01,51.67256637,2
1955-03-01,27.4159292,3
1955-04-01,26.97345133,4
1955-05-01,70.46017699,5
1955-06-01,73.80530973,6
1955-07-01,48.69026549,7
1955-08-01,67.38053097,8
1955-09-01,64.33628319,9
1955-10-01,34.4159292,10
1955-11-01,35.00884956,11
1955-12-01,68.53982301,12
1956-01-01,71.27433628,1
1956-02-01,18.09734513,2
1956-03-01,44.84070796,3
1956-04-01,46.87610619,4
1956-05-01,80.99115044,5
1956-06-01,126.8141593,6
1956-07-01,93.61946903,7
1956-08-01,80.62831858,8
1956-09-01,93.00884956,9
1956-10-01,80.20353982,10
1956-11-01,40.52212389,11
1956-12-01,44.0,12
1957-01-01,34.60176991,1
1957-02-01,83.60176991,2
1957-03-01,61.23893805,3
1957-04-01,8.955752212,4
1957-05-01,72.15929204,5
1957-06-01,76.76106195,6
1957-07-01,104.1858407,7
1957-08-01,69.52212389,8
1957-09-01,159.8761062,9
1957-10-01,30.67256637,10
1957-11-01,52.43362832,11
1957-12-01,32.62831858,12
1958-01-01,61.15929204,1
1958-02-01,95.08849558,2
1958-03-01,41.46017699,3
1958-04-01,30.69026549,4
1958-05-01,107.4336283,5
1958-06-01,59.75221239,6
1958-07-01,78.23893805,7
1958-08-01,118.7079646,8
1958-09-01,35.82300885,9
1958-10-01,68.45132743,10
1958-11-01,45.65486726,11
1958-12-01,67.23893805,12
1959-01-01,72.7699115,1
1959-02-01,3.159292035,2
1959-03-01,46.73451327,3
1959-04-01,43.59292035,4
1959-05-01,18.45132743,5
1959-06-01,33.15929204,6
1959-07-01,20.32743363,7
1959-08-01,73.56637168,8
1959-09-01,3.265486726,9
1959-10-01,35.02654867,10
1959-11-01,30.14159292,11
1959-12-01,48.52212389,12
1960-01-01,56.2920354,1
1960-02-01,37.33628319,2
1960-03-01,31.79646018,3
1960-04-01,59.73451327,4
1960-05-01,101.5132743,5
1960-06-01,39.48672566,6
1960-07-01,74.13274336,7
1960-08-01,107.3097345,8
1960-09-01,77.57522124,9
1960-10-01,106.2566372,10
1960-11-01,73.76106195,11
1960-12-01,66.04424779,12
1961-01-01,75.21238938,1
1961-02-01,40.19469027,2
1961-03-01,27.20353982,3
1961-04-01,103.6725664,4
1961-05-01,67.05309735,5
1961-06-01,124.8761062,6
1961-07-01,73.55752212,7
1961-08-01,46.96460177,8
1961-09-01,44.7079646,9
1961-10-01,57.92035398,10
1961-11-01,62.45132743,11
1961-12-01,58.2300885,12
1962-01-01,26.32743363,1
1962-02-01,67.18584071,2
1962-03-01,55.49557522,3
1962-04-01,53.98230088,4
1962-05-01,66.52212389,5
1962-06-01,12.97345133,6
1962-07-01,72.01769912,7
1962-08-01,61.10619469,8
1962-09-01,65.94690265,9
1962-10-01,18.22123894,10
1962-11-01,39.77876106,11
1962-12-01,94.60176991,12
1963-01-01,39.63716814,1
1963-02-01,24.50442478,2
1963-03-01,50.05309735,3
1963-04-01,37.02654867,4
1963-05-01,52.88495575,5
1963-06-01,67.81415929,6
1963-07-01,57.71681416,7
1963-08-01,71.7699115,8
1963-09-01,38.53097345,9
1963-10-01,53.45132743,10
1963-11-01,72.75221239,11
1963-12-01,8.168141593,12
1964-01-01,22.94690265,1
1964-02-01,40.0619469,2
1964-03-01,46.30088496,3
1964-04-01,34.2920354,4
1964-05-01,35.53982301,5
1964-06-01,51.86725664,6
1964-07-01,26.12389381,7
1964-08-01,63.65486726,8
1964-09-01,33.2300885,9
1964-10-01,64.7699115,10
1964-11-01,73.23893805,11
1964-12-01,42.26548673,12
1965-01-01,94.62831858,1
1965-02-01,18.33628319,2
1965-03-01,50.16814159,3
1965-04-01,98.94690265,4
1965-05-01,57.77876106,5
1965-06-01,105.5575221,6
1965-07-01,154.0973451,7
1965-08-01,76.2300885,8
1965-09-01,65.02654867,9
1965-10-01,23.78761062,10
1965-11-01,60.28318584,11
1965-12-01,113.7256637,12
1966-01-01,40.92035398,1
1966-02-01,45.96460177,2
1966-03-01,75.03539823,3
1966-04-01,79.4159292,4
1966-05-01,62.50442478,5
1966-06-01,103.9823009,6
1966-07-01,110.0,7
1966-08-01,61.42477876,8
1966-09-01,22.34513274,9
1966-10-01,101.3097345,10
1966-11-01,75.73451327,11
1966-12-01,136.9911504,12
1967-01-01,34.76106195,1
1967-02-01,32.02654867,2
1967-03-01,55.11504425,3
1967-04-01,45.32743363,4
1967-05-01,74.72566372,5
1967-06-01,66.02654867,6
1967-07-01,52.81415929,7
1967-08-01,45.80530973,8
1967-09-01,65.59292035,9
1967-10-01,39.08849558,10
1967-11-01,74.92920354,11
1967-12-01,90.91150442,12
1968-01-01,77.55752212,1
1968-02-01,38.01769912,2
1968-03-01,45.7699115,3
1968-04-01,11.59292035,4
1968-05-01,53.75221239,5
1968-06-01,66.89380531,6
1968-07-01,58.80530973,7
1968-08-01,143.5575221,8
1968-09-01,92.78761062,9
1968-10-01,52.0,10
1968-11-01,28.0,11
1968-12-01,30.88495575,12
1969-01-01,38.16814159,1
1969-02-01,48.61946903,2
1969-03-01,45.33628319,3
1969-04-01,45.4159292,4
1969-05-01,67.82300885,5
1969-06-01,56.72566372,6
1969-07-01,59.01769912,7
1969-08-01,175.6460177,8
1969-09-01,32.75221239,9
1969-10-01,7.495575221,10
1969-11-01,69.59292035,11
1969-12-01,17.50442478,12
1970-01-01,67.75221239,1
1970-02-01,103.4159292,2
1970-03-01,65.2300885,3
1970-04-01,70.40707965,4
1970-05-01,52.15929204,5
1970-06-01,59.97345133,6
1970-07-01,101.9115044,7
1970-08-01,69.95575221,8
1970-09-01,53.25663717,9
1970-10-01,84.79646018,10
1970-11-01,40.12389381,11
1970-12-01,33.97345133,12
1971-01-01,35.7699115,1
